VLSR,Tbright
221.050802,2.230619
220.204905,1.961869
219.359008,1.703019
218.513111,1.744420
217.667215,1.756939
216.821318,1.620692
215.975421,1.598906
215.129525,1.375581
214.283628,1.469709
213.437731,1.353202
212.591834,2.065863
211.745938,1.879425
210.900041,1.742936
210.054144,1.816996
209.208247,1.557681
208.362351,1.067416
207.516454,0.853383
206.670557,0.886746
205.824660,0.000000
204.978764,0.888178
204.132867,0.961150
203.286970,0.573967
202.441074,0.720229
201.595177,1.074020
200.749280,1.106161
199.903383,0.949787
199.057487,0.674500
198.211590,0.702388
197.365693,0.516019
196.519796,0.955266
195.673900,1.108487
194.828003,0.780590
193.982106,1.184915
193.136209,1.131802
192.290313,0.573739
191.444416,1.213028
190.598519,1.421774
189.752622,0.735201
188.906726,0.600666
188.060829,1.146959
187.214932,1.214533
186.369036,1.232942
185.523139,1.334250
184.677242,0.643288
183.831345,0.176991
182.985449,0.087331
182.139552,0.455088
181.293655,0.903934
180.447758,1.318167
179.601862,0.999894
178.755965,1.291497
177.910068,0.839052
177.064171,1.013495
176.218275,1.082253
175.372378,0.168333
174.526481,0.486452
173.680585,1.110402
172.834688,0.740498
171.988791,0.961060
171.142894,1.240015
170.296998,1.680852
169.451101,1.189057
168.605204,1.295639
167.759307,1.111125
166.913411,1.252535
166.067514,1.083805
165.221617,0.897433
164.375720,0.617499
163.529824,0.869624
162.683927,0.898961
161.838030,1.469252
160.992133,0.901744
160.146237,0.724796
159.300340,0.361752
158.454443,0.520158
157.608547,1.157490
156.762650,1.846563
155.916753,1.178848
155.070856,0.302224
154.224960,0.954228
153.379063,1.086023
152.533166,0.940251
151.687269,0.799202
150.841373,0.648516
149.995476,0.948885
149.149579,0.566139
148.303682,0.943980
147.457786,0.985773
146.611889,0.501770
145.765992,0.747561
144.920096,0.490435
144.074199,0.860872
143.228302,0.931997
142.382405,1.162481
141.536509,1.132149
140.690612,0.887693
139.844715,1.294595
138.998818,1.570621
138.152922,1.252563
137.307025,0.446365
136.461128,1.061780
135.615231,1.153632
134.769335,0.538284
133.923438,0.809609
133.077541,1.155083
132.231644,1.156792
131.385748,1.636997
130.539851,1.114105
129.693954,1.082024
128.848058,1.637437
128.002161,1.563084
127.156264,1.402939
126.310367,1.048013
125.464471,0.630008
124.618574,1.289827
123.772677,0.831810
122.926780,0.593093
122.080884,1.320692
121.234987,1.183385
120.389090,1.270284
119.543193,1.919189
118.697297,1.656411
117.851400,1.684735
117.005503,1.459788
116.159607,1.358101
115.313710,1.240105
114.467813,1.122563
113.621916,1.346634
112.776020,1.882029
111.930123,1.182006
111.084226,1.070594
110.238329,1.357514
109.392433,1.208556
108.546536,1.383393
107.700639,1.339435
106.854742,1.075325
106.008846,0.811786
105.162949,1.318298
104.317052,1.340897
103.471156,1.098808
102.625259,1.437568
101.779362,1.423285
100.933465,1.069856
100.087569,1.089907
99.241672,1.028206
98.395775,1.038686
97.549878,0.527791
96.703982,1.206855
95.858085,0.897740
95.012188,0.984624
94.166291,0.963424
93.320395,0.824290
92.474498,0.974086
91.628601,1.382120
90.782704,1.861874
89.936808,1.316473
89.090911,1.120172
88.245014,1.417074
87.399118,1.551643
86.553221,1.461328
85.707324,1.716164
84.861427,1.323177
84.015531,1.241806
83.169634,1.356917
82.323737,1.196685
81.477840,1.243528
80.631944,0.998211
79.786047,1.087548
78.940150,1.437247
78.094253,1.607742
77.248357,1.440731
76.402460,1.808001
75.556563,1.815344
74.710667,1.482593
73.864770,1.267955
73.018873,1.377446
72.172976,1.770903
71.327080,1.128854
70.481183,1.212580
69.635286,1.543246
68.789389,1.655667
67.943493,1.012373
67.097596,0.476181
66.251699,0.132050
65.405802,0.521847
64.559906,1.549169
63.714009,1.686887
62.868112,1.161623
62.022215,1.282205
61.176319,1.659524
60.330422,1.448358
59.484525,0.861101
58.638629,1.245570
57.792732,1.398707
56.946835,1.462974
56.100938,0.943259
55.255042,1.309472
54.409145,1.488513
53.563248,1.289616
52.717351,1.614599
51.871455,1.653686
51.025558,1.182578
50.179661,1.251136
49.333764,1.749645
48.487868,1.599961
47.641971,1.113627
46.796074,1.106931
45.950178,1.174621
45.104281,1.072812
44.258384,1.162672
43.412487,0.690131
42.566591,1.402269
41.720694,1.208063
40.874797,0.733477
40.028900,0.588951
39.183004,0.760228
38.337107,0.623252
37.491210,0.283404
36.645313,0.680689
35.799417,0.714496
34.953520,0.537171
34.107623,0.962044
33.261727,0.727917
32.415830,1.041201
31.569933,1.134261
30.724036,1.562024
29.878140,1.070219
29.032243,1.098842
28.186346,1.526304
27.340449,1.715797
26.494553,2.710536
25.648656,2.916805
