VLSR,Tbright
226.804052,0.776450
225.958155,0.966937
225.112258,1.424884
224.266361,2.223465
223.420465,2.398219
222.574568,2.081410
221.728671,1.132268
220.882775,1.020549
220.036878,1.720377
219.190981,1.630204
218.345084,1.873544
217.499188,2.402518
216.653291,2.075121
215.807394,1.801059
214.961497,1.843814
214.115601,1.602103
213.269704,1.380284
212.423807,1.185432
211.577910,0.935462
210.732014,1.480136
209.886117,1.892979
209.040220,1.736717
208.194324,1.593586
207.348427,1.717321
206.502530,1.628448
205.656633,2.270551
204.810737,1.904393
203.964840,1.987644
203.118943,2.626058
202.273046,2.231415
201.427150,1.432170
200.581253,1.523528
199.735356,2.393464
198.889459,2.793337
198.043563,2.060175
197.197666,2.127281
196.351769,2.520971
195.505872,2.278871
194.659976,2.220639
193.814079,2.036019
192.968182,2.185482
192.122286,2.163981
191.276389,1.858912
190.430492,1.849648
189.584595,1.526181
188.738699,1.406247
187.892802,1.644440
187.046905,1.937071
186.201008,1.926353
185.355112,1.690268
184.509215,1.814323
183.663318,1.691507
182.817421,1.778942
181.971525,1.762314
181.125628,1.214065
180.279731,1.629117
179.433835,2.277960
178.587938,1.844374
177.742041,1.606641
176.896144,1.448622
176.050248,1.999393
175.204351,2.139316
174.358454,2.006312
173.512557,1.629851
172.666661,1.515824
171.820764,1.571275
170.974867,1.868240
170.128970,1.681148
169.283074,1.830730
168.437177,1.813343
167.591280,2.466564
166.745383,1.901585
165.899487,1.404883
165.053590,1.572944
164.207693,1.923145
163.361797,1.860801
162.515900,2.349943
161.670003,2.620947
160.824106,1.753172
159.978210,1.496617
159.132313,1.158993
158.286416,1.303980
157.440519,1.837109
156.594623,1.628905
155.748726,1.381205
154.902829,1.237382
154.056932,1.443382
153.211036,1.602570
152.365139,1.755790
151.519242,1.519700
150.673346,1.313610
149.827449,1.333946
148.981552,1.103330
148.135655,1.575848
147.289759,1.596248
146.443862,1.381393
145.597965,2.041289
144.752068,2.352183
143.906172,2.118000
143.060275,2.191948
142.214378,1.993537
141.368481,1.738834
140.522585,1.623835
139.676688,2.070938
138.830791,2.192832
137.984894,2.415797
137.138998,2.528946
136.293101,1.579447
135.447204,1.705714
134.601308,2.210312
133.755411,2.048627
132.909514,2.061832
132.063617,1.149671
131.217721,1.185027
130.371824,1.920317
129.525927,1.928687
128.680030,1.643890
127.834134,1.917723
126.988237,1.431693
126.142340,1.713910
125.296443,2.041954
124.450547,2.144730
123.604650,2.031043
122.758753,1.721667
121.912857,2.089165
121.066960,2.031478
120.221063,1.932432
119.375166,1.916700
118.529270,2.410401
117.683373,2.008645
116.837476,1.970219
115.991579,2.024180
115.145683,1.743645
114.299786,1.971048
113.453889,1.721839
112.607992,1.919483
111.762096,1.909253
110.916199,2.960630
110.070302,2.699145
109.224406,2.231190
108.378509,2.868541
107.532612,2.794263
106.686715,2.603348
105.840819,2.810630
104.994922,2.810037
104.149025,2.940717
103.303128,2.671962
102.457232,3.900469
101.611335,3.722952
100.765438,3.818254
99.919541,3.369656
99.073645,3.066486
98.227748,3.411475
97.381851,3.542081
96.535954,3.272290
95.690058,3.056326
94.844161,3.783200
93.998264,4.289247
93.152368,4.656707
92.306471,4.416918
91.460574,3.976505
90.614677,3.766998
89.768781,3.925189
88.922884,4.132379
88.076987,4.717417
87.231090,4.716668
86.385194,4.334068
85.539297,4.258983
84.693400,4.955737
83.847503,5.018353
83.001607,4.792698
