VLSR,Tbright
227.278052,0.443908
226.432155,0.542512
225.586258,1.002385
224.740361,1.217154
223.894465,1.456727
223.048568,1.748336
222.202671,0.856873
221.356775,1.515616
220.510878,2.167694
219.664981,1.019865
218.819084,1.283711
217.973188,1.191453
217.127291,0.958826
216.281394,1.181989
215.435497,1.075279
214.589601,0.941460
213.743704,0.577591
212.897807,0.495929
212.051910,0.006222
211.206014,0.507879
210.360117,0.708895
209.514220,0.907725
208.668324,0.835626
207.822427,0.597950
206.976530,0.684786
206.130633,0.933571
205.284737,0.717166
204.438840,0.878361
203.592943,0.616511
202.747046,1.039511
201.901150,0.894355
201.055253,0.438204
200.209356,1.048547
199.363459,0.984767
198.517563,0.912882
197.671666,1.232833
196.825769,1.613323
195.979872,1.764243
195.133976,1.578898
194.288079,1.129372
193.442182,1.615641
192.596286,1.234386
191.750389,0.838473
190.904492,0.815464
190.058595,0.643800
189.212699,0.066108
188.366802,0.687263
187.520905,0.972334
186.675008,1.676423
185.829112,0.687547
184.983215,0.802619
184.137318,0.907699
183.291421,1.206298
182.445525,0.982159
181.599628,0.001044
180.753731,0.422837
179.907835,1.167364
179.061938,0.860906
178.216041,0.666659
177.370144,0.673699
176.524248,1.734134
175.678351,1.345745
174.832454,1.014092
173.986557,0.241596
173.140661,0.482635
172.294764,0.450322
171.448867,0.653558
170.602970,1.141670
169.757074,0.893026
168.911177,0.786557
168.065280,1.173147
167.219383,0.899919
166.373487,0.726691
165.527590,0.341822
164.681693,0.919129
163.835797,1.639150
162.989900,1.589117
162.144003,1.362827
161.298106,0.763320
160.452210,0.839343
159.606313,0.856863
158.760416,0.974436
157.914519,1.506790
157.068623,0.542325
156.222726,0.310451
155.376829,0.580340
154.530932,1.119411
153.685036,1.376194
152.839139,1.226440
151.993242,1.059803
151.147346,0.910859
150.301449,1.028830
149.455552,1.293594
148.609655,1.145221
147.763759,0.983001
146.917862,0.368706
146.071965,0.844467
145.226068,1.236616
144.380172,1.308998
143.534275,0.876882
142.688378,0.881864
141.842481,1.534033
140.996585,1.022540
140.150688,1.001053
