VLSR,Tbright
222.602292,1.783808
221.756395,1.700956
220.910498,0.755558
220.064601,0.422473
219.218705,0.844487
218.372808,1.361358
217.526911,1.227382
216.681015,1.187472
215.835118,1.608456
214.989221,1.373861
214.143324,1.999005
213.297428,2.001224
212.451531,1.592923
211.605634,1.243310
210.759737,1.463915
209.913841,1.278902
209.067944,0.938982
208.222047,0.772821
207.376150,0.367321
206.530254,0.788816
205.684357,0.240070
204.838460,0.757088
203.992564,0.894638
203.146667,0.849886
202.300770,0.851639
201.454873,1.200885
200.608977,0.844532
199.763080,1.144349
198.917183,1.324062
198.071286,1.147754
197.225390,0.902881
196.379493,0.594553
195.533596,1.296831
194.687699,1.651684
193.841803,1.181250
192.995906,1.346167
192.150009,1.459984
191.304112,1.271681
190.458216,1.024550
189.612319,1.218277
188.766422,1.560811
187.920526,1.977518
187.074629,1.317859
186.228732,0.731936
185.382835,0.919351
184.536939,0.688809
183.691042,0.763119
182.845145,1.037283
181.999248,1.278576
181.153352,1.011805
180.307455,1.459283
179.461558,1.412441
178.615661,1.521677
177.769765,1.465509
176.923868,1.040813
176.077971,1.322989
175.232075,1.545590
174.386178,1.205863
173.540281,1.222485
172.694384,1.070411
171.848488,1.513179
171.002591,0.801777
170.156694,0.498772
169.310797,0.484280
168.464901,0.884138
167.619004,0.702114
166.773107,0.732121
165.927210,1.031812
165.081314,0.498157
164.235417,0.912540
163.389520,1.529950
162.543623,1.002700
161.697727,0.759800
160.851830,0.644628
160.005933,0.655449
159.160037,0.893715
158.314140,1.241598
157.468243,1.396933
156.622346,0.902099
155.776450,0.573794
154.930553,0.765737
154.084656,0.731193
153.238759,0.758965
152.392863,0.938770
151.546966,0.684451
150.701069,0.186879
149.855172,0.461211
149.009276,0.633787
148.163379,0.573987
147.317482,0.505974
146.471586,0.414976
145.625689,0.729070
144.779792,0.343911
143.933895,0.918576
143.087999,1.229591
142.242102,0.519445
141.396205,0.752119
140.550308,1.209585
139.704412,1.379262
138.858515,1.072885
138.012618,0.983543
137.166721,0.987285
136.320825,0.913861
135.474928,1.201341
134.629031,1.023860
133.783134,1.298266
132.937238,1.687216
132.091341,1.236961
131.245444,0.878780
130.399548,1.244447
129.553651,1.409545
128.707754,1.106057
127.861857,0.000000
127.015961,0.098817
126.170064,1.202924
125.324167,0.633357
124.478270,0.477062
123.632374,1.074844
122.786477,0.870183
121.940580,0.978339
121.094683,1.603925
120.248787,1.580394
119.402890,1.372426
118.556993,0.889601
117.711097,1.158791
116.865200,1.053373
116.019303,0.898084
115.173406,1.279896
114.327510,1.750186
113.481613,0.743175
112.635716,0.973947
111.789819,1.124946
110.943923,0.895468
110.098026,1.284241
109.252129,1.018618
108.406232,0.549808
107.560336,0.728838
106.714439,1.292009
105.868542,0.732716
105.022646,0.801730
104.176749,0.890968
103.330852,0.623432
102.484955,0.747063
101.639059,0.892436
100.793162,0.998846
