VLSR,Tbright
224.215252,0.909166
223.369355,0.960735
222.523458,2.065423
221.677561,2.549396
220.831665,1.731419
219.985768,1.968286
219.139871,1.862501
218.293975,1.945521
217.448078,1.560386
216.602181,0.932484
215.756284,1.548447
214.910388,1.634763
214.064491,1.487047
213.218594,1.843374
212.372697,1.186486
211.526801,1.051000
210.680904,0.589474
209.835007,0.571989
208.989110,0.301888
208.143214,0.561828
207.297317,0.693828
206.451420,0.846288
205.605524,0.767637
204.759627,0.580923
203.913730,0.575133
203.067833,0.807557
202.221937,0.717953
201.376040,0.708033
200.530143,1.023845
199.684246,0.810565
198.838350,0.295243
197.992453,0.345229
197.146556,1.450474
196.300659,1.409708
195.454763,0.325958
194.608866,0.768553
193.762969,1.625834
192.917072,0.989866
192.071176,1.087980
191.225279,0.928129
190.379382,1.258824
189.533486,0.792824
188.687589,0.652331
187.841692,0.788989
186.995795,0.358264
186.149899,0.000000
185.304002,0.216391
184.458105,0.663282
183.612208,1.090425
182.766312,0.680037
181.920415,0.920978
181.074518,0.702900
180.228621,0.780070
179.382725,0.703506
178.536828,0.504797
177.690931,0.948135
176.845035,1.608444
175.999138,0.679769
175.153241,0.294586
174.307344,0.289093
173.461448,1.427679
172.615551,0.954180
171.769654,1.153809
170.923757,0.982334
170.077861,0.582924
169.231964,0.040427
168.386067,0.650159
167.540170,0.642321
166.694274,0.343329
165.848377,0.422534
165.002480,1.403229
164.156583,1.084990
163.310687,0.497262
162.464790,0.178403
161.618893,0.514734
160.772997,0.716100
159.927100,0.808130
159.081203,1.254011
158.235306,0.811870
157.389410,0.452046
156.543513,0.562851
155.697616,0.847796
154.851719,0.799182
154.005823,0.580985
153.159926,0.299900
152.314029,0.411911
151.468132,0.919434
150.622236,1.046785
149.776339,0.969163
148.930442,0.982179
148.084546,0.566034
147.238649,0.406249
146.392752,0.166562
145.546855,0.472083
144.700959,0.246087
143.855062,0.428054
143.009165,1.237635
142.163268,1.403281
141.317372,0.720452
140.471475,0.261618
139.625578,0.595252
138.779681,0.709811
137.933785,0.429097
137.087888,0.482153
136.241991,0.763733
135.396094,1.193366
134.550198,1.178593
133.704301,0.775681
132.858404,0.799430
132.012508,1.048185
131.166611,0.887941
130.320714,1.165612
129.474817,0.591892
128.628921,0.261883
127.783024,1.112112
126.937127,0.982052
126.091230,0.348341
125.245334,1.039451
124.399437,0.870552
123.553540,1.155555
122.707643,1.082216
121.861747,0.971381
121.015850,1.538566
120.169953,1.412555
119.324057,1.532798
118.478160,0.948207
117.632263,0.426347
116.786366,0.507536
115.940470,1.157593
115.094573,0.603784
114.248676,0.324689
113.402779,1.141137
112.556883,1.284634
111.710986,1.067440
110.865089,0.437049
110.019192,0.072876
109.173296,0.602833
108.327399,1.263708
107.481502,1.042472
106.635606,1.009346
105.789709,1.096874
104.943812,0.624631
104.097915,0.368732
103.252019,0.701426
102.406122,0.762565
101.560225,0.789894
100.714328,0.305800
99.868432,0.791892
99.022535,0.842182
98.176638,1.013290
97.330741,0.520962
96.484845,0.016285
95.638948,0.523626
94.793051,1.218764
93.947154,1.316834
93.101258,0.885612
92.255361,0.572167
91.409464,0.762534
90.563568,1.327265
89.717671,1.514570
88.871774,1.380982
88.025877,1.271236
87.179981,1.296631
86.334084,1.236274
85.488187,1.250837
84.642290,1.212438
83.796394,0.926080
82.950497,0.841825
82.104600,1.165798
81.258703,1.594497
80.412807,1.603868
79.566910,1.804482
78.721013,1.213327
77.875117,0.975697
77.029220,1.467733
76.183323,1.449960
75.337426,1.550752
74.491530,0.930594
73.645633,1.299431
72.799736,1.587724
71.953839,1.712615
71.107943,1.601591
70.262046,1.278931
69.416149,1.142388
68.570252,1.430005
67.724356,1.986350
66.878459,2.014923
66.032562,1.933096
65.186665,2.520159
64.340769,2.802332
63.494872,2.322608
62.648975,2.089307
61.803079,2.708586
60.957182,2.691608
60.111285,2.796915
