VLSR,Tbright
219.057612,2.689364
218.211715,2.455996
217.365818,3.737357
216.519921,4.224213
215.674025,3.145154
214.828128,2.555792
213.982231,1.715327
213.136335,2.286083
212.290438,2.359386
211.444541,2.054261
210.598644,2.418843
209.752748,2.160267
208.906851,1.772052
208.060954,1.994058
207.215057,1.898537
206.369161,1.112020
205.523264,0.917353
204.677367,1.159531
203.831470,1.300216
202.985574,1.523970
202.139677,0.997542
201.293780,1.460949
200.447884,1.453796
199.601987,1.668204
198.756090,1.676190
197.910193,1.298467
197.064297,1.106088
196.218400,1.329307
195.372503,1.360694
194.526606,1.464370
193.680710,1.298693
192.834813,0.780843
191.988916,1.329835
191.143019,1.168158
190.297123,1.036820
189.451226,1.492138
188.605329,1.543034
187.759432,1.766583
186.913536,1.769744
186.067639,1.505731
185.221742,1.249055
184.375846,1.363913
183.529949,1.807406
182.684052,0.972187
181.838155,0.450522
180.992259,0.000000
180.146362,0.374436
179.300465,0.741877
178.454568,1.778828
177.608672,1.612149
176.762775,1.589372
175.916878,1.464236
175.070981,1.627908
174.225085,1.205268
173.379188,0.890429
172.533291,0.914716
171.687395,1.454722
170.841498,1.595283
169.995601,1.191306
169.149704,0.591098
168.303808,1.619422
167.457911,1.443811
166.612014,1.474239
165.766117,1.641006
164.920221,1.527370
164.074324,1.060287
163.228427,1.049851
162.382530,1.414011
161.536634,0.980759
160.690737,0.880755
159.844840,1.751992
158.998943,1.454968
158.153047,1.299609
157.307150,0.947373
156.461253,1.294664
155.615357,1.010611
154.769460,1.448661
153.923563,1.977251
153.077666,1.543553
152.231770,1.163248
151.385873,1.078381
150.539976,0.966395
149.694079,0.895417
148.848183,1.210235
148.002286,1.327928
147.156389,1.038256
146.310492,1.296667
145.464596,1.730928
144.618699,1.706107
143.772802,1.353874
142.926906,0.994131
142.081009,1.460308
141.235112,1.398465
140.389215,1.765173
139.543319,1.581759
138.697422,0.725223
137.851525,1.433600
137.005628,2.028577
136.159732,1.690701
135.313835,1.601180
134.467938,2.175150
133.622041,1.777014
132.776145,1.595696
131.930248,1.545682
131.084351,1.784468
130.238454,2.084020
129.392558,2.020878
128.546661,1.546966
127.700764,1.680244
126.854868,1.812586
126.008971,1.710785
125.163074,1.323881
124.317177,0.779431
123.471281,0.860120
122.625384,1.538568
121.779487,1.074316
120.933590,1.053506
120.087694,1.820003
119.241797,1.414485
118.395900,1.531987
117.550003,1.869432
116.704107,1.792638
115.858210,2.022127
115.012313,1.709356
114.166417,2.169035
113.320520,1.330568
112.474623,0.797357
111.628726,1.450943
110.782830,2.329999
109.936933,1.400722
109.091036,1.388332
108.245139,1.756543
107.399243,1.536253
106.553346,2.060535
105.707449,1.567977
104.861552,0.681984
104.015656,0.865252
103.169759,1.984847
102.323862,1.991729
101.477966,1.559176
100.632069,1.431677
99.786172,1.397981
98.940275,1.094128
98.094379,1.682297
97.248482,2.313559
96.402585,1.634119
95.556688,0.901372
94.710792,1.448094
93.864895,1.298842
93.018998,1.422291
92.173101,1.224504
91.327205,1.086999
90.481308,1.606679
89.635411,2.059924
88.789514,2.136192
87.943618,1.494815
87.097721,1.715006
86.251824,1.940431
85.405928,1.797071
84.560031,1.919594
83.714134,1.476390
82.868237,1.168952
82.022341,1.517084
81.176444,1.643968
80.330547,1.537267
79.484650,1.729411
78.638754,1.601626
77.792857,1.583092
76.946960,2.163116
76.101063,2.034813
75.255167,2.235516
74.409270,2.313952
73.563373,2.404275
72.717477,1.950789
71.871580,2.110543
71.025683,1.949831
70.179786,1.794284
69.333890,1.330481
68.487993,1.858045
67.642096,1.877906
66.796199,2.558955
65.950303,2.390532
65.104406,1.733876
64.258509,1.440534
63.412612,1.630240
62.566716,2.326658
61.720819,2.274581
60.874922,1.455586
60.029025,1.695685
59.183129,2.258863
58.337232,1.976605
57.491335,1.552067
56.645439,1.911687
55.799542,2.229924
54.953645,1.738816
54.107748,1.848698
53.261852,1.979588
52.415955,1.599079
51.570058,1.480267
50.724161,1.773735
49.878265,1.994131
49.032368,1.699755
48.186471,1.969576
47.340574,2.043053
46.494678,2.355336
45.648781,2.289597
44.802884,1.774287
43.956988,1.655726
43.111091,1.263900
42.265194,1.567543
41.419297,1.804727
40.573401,1.856747
39.727504,1.466793
38.881607,1.225550
38.035710,1.581361
37.189814,1.892901
36.343917,1.367712
35.498020,1.127655
34.652123,1.061639
33.806227,0.937933
32.960330,0.936135
32.114433,1.192252
31.268537,1.412983
30.422640,2.043839
29.576743,1.966592
28.730846,2.253829
27.884950,2.317755
27.039053,2.295038
26.193156,2.380459
25.347259,2.365483
24.501363,3.624981
23.655466,4.024636
22.809569,4.124700
21.963672,4.835987
21.117776,5.690716
20.271879,6.803412
19.425982,8.398531
18.580085,9.809539
17.734189,10.805619
16.888292,12.283902
16.042395,14.656423
15.196499,17.384574
14.350602,19.824559
13.504705,22.888981
12.658808,26.153516
11.812912,29.674198
10.967015,33.839772
10.121118,37.885642
9.275221,41.718006
8.429325,45.170936
7.583428,48.576776
6.737531,49.919692
5.891634,51.793272
5.045738,53.510812
4.199841,54.757921
3.353944,55.441008
2.508048,55.228573
1.662151,56.234650
0.816254,56.541115
-0.029643,55.910598
-0.875539,54.454920
-1.721436,54.488376
-2.567333,54.168538
-3.413230,53.190978
-4.259126,52.490771
-5.105023,52.557319
-5.950920,51.020152
-6.796817,49.289796
-7.642713,47.903580
-8.488610,46.560125
-9.334507,45.033760
-10.180404,44.256564
-11.026300,42.677523
-11.872197,41.074298
-12.718094,39.521725
-13.563990,38.055461
-14.409887,36.835038
-15.255784,35.770251
-16.101681,34.406479
-16.947577,32.785070
-17.793474,30.761169
-18.639371,29.446635
-19.485268,28.167377
-20.331164,26.687988
-21.177061,25.223818
-22.022958,23.398828
-22.868855,22.692050
-23.714751,22.861740
-24.560648,22.541281
-25.406545,22.033421
-26.252441,22.068939
-27.098338,21.735115
-27.944235,21.423329
-28.790132,21.477220
-29.636028,21.603987
-30.481925,22.100846
-31.327822,22.261585
-32.173719,22.212607
-33.019615,21.797479
-33.865512,22.468487
-34.711409,22.990532
-35.557306,22.855737
-36.403202,22.714331
-37.249099,22.325872
-38.094996,22.696729
-38.940893,22.983370
