VLSR,Tbright
225.644052,0.974481
224.798155,1.560324
223.952258,0.683053
223.106361,0.850416
222.260465,1.575903
221.414568,1.650655
220.568671,0.692808
219.722775,0.811560
218.876878,1.482799
218.030981,0.943552
217.185084,1.567951
216.339188,1.402125
215.493291,0.805693
214.647394,0.499708
213.801497,0.599487
212.955601,0.515930
212.109704,0.382522
211.263807,0.419577
210.417910,0.179464
209.572014,0.541150
208.726117,0.668487
207.880220,1.048648
207.034324,1.280644
206.188427,0.918677
205.342530,0.713010
204.496633,0.968489
203.650737,0.706894
202.804840,0.668628
201.958943,1.184498
201.113046,0.959482
200.267150,1.001084
199.421253,0.843288
198.575356,1.041370
197.729459,1.116655
196.883563,0.791984
196.037666,0.892729
195.191769,1.354451
194.345872,0.952023
193.499976,0.766844
192.654079,1.118842
191.808182,1.217581
190.962286,0.631311
190.116389,1.054526
189.270492,0.893745
188.424595,0.148061
187.578699,0.211786
186.732802,0.195413
185.886905,0.333291
185.041008,0.884328
184.195112,0.866052
183.349215,1.136672
182.503318,0.706477
181.657421,0.545940
180.811525,0.451007
179.965628,0.108085
179.119731,0.532144
178.273835,1.200152
177.427938,0.999103
176.582041,0.751481
175.736144,0.731352
174.890248,1.391567
174.044351,0.803870
173.198454,1.327736
172.352557,1.321738
171.506661,0.824154
170.660764,0.515730
169.814867,0.355239
168.968970,0.619873
168.123074,0.707380
167.277177,0.529404
166.431280,1.139357
165.585383,0.921584
164.739487,0.758597
163.893590,0.401000
163.047693,1.008537
162.201797,1.030726
161.355900,1.111283
160.510003,1.305797
159.664106,0.648398
158.818210,0.604441
157.972313,1.109490
157.126416,0.883769
156.280519,0.959748
155.434623,0.755726
154.588726,0.158842
153.742829,0.000000
152.896932,0.537205
152.051036,0.753703
151.205139,0.892898
150.359242,0.922392
149.513346,0.514268
148.667449,0.412201
147.821552,0.635364
146.975655,1.180793
146.129759,1.076890
145.283862,0.303337
144.437965,0.824958
143.592068,1.048845
142.746172,0.822354
141.900275,0.885661
141.054378,0.673928
140.208481,0.794621
139.362585,1.000870
138.516688,1.162754
137.670791,1.080620
136.824894,1.560705
135.978998,1.260293
135.133101,0.357063
134.287204,0.814967
133.441308,1.008841
132.595411,1.133198
131.749514,0.854532
130.903617,0.212404
130.057721,0.351256
129.211824,0.944036
128.365927,0.394001
127.520030,0.092650
126.674134,0.651570
125.828237,0.794316
124.982340,0.885871
124.136443,1.568170
123.290547,1.264413
122.444650,1.386247
121.598753,1.278512
120.752857,1.501688
119.906960,1.731751
119.061063,1.079604
118.215166,0.824727
117.369270,1.230125
116.523373,0.263964
115.677476,0.247167
114.831579,0.975523
113.985683,0.641948
113.139786,0.781236
112.293889,0.856080
111.447992,0.229090
110.602096,0.336203
109.756199,1.355446
108.910302,0.925868
108.064406,1.276939
107.218509,1.089062
106.372612,1.178905
105.526715,0.629068
104.680819,0.614807
103.834922,0.645627
102.989025,0.564990
102.143128,0.176395
101.297232,0.474344
100.451335,1.159947
99.605438,1.634470
98.759541,1.444288
97.913645,0.822040
97.067748,0.559943
96.221851,1.478402
95.375954,1.637487
94.530058,1.218664
93.684161,1.097599
92.838264,1.079834
91.992368,1.394135
91.146471,1.617011
90.300574,1.153802
89.454677,0.949259
88.608781,1.521584
87.762884,1.923364
86.916987,2.125029
86.071090,2.387201
85.225194,2.245135
84.379297,1.693359
83.533400,2.195737
82.687503,2.182673
81.841607,2.287004
80.995710,2.504997
80.149813,2.025616
79.303917,2.066870
78.458020,2.600835
77.612123,2.583987
76.766226,2.668477
75.920330,2.631933
75.074433,3.293730
74.228536,3.376782
73.382639,3.600110
72.536743,3.455190
71.690846,3.415554
70.844949,3.186721
69.999052,3.886388
69.153156,5.434189
68.307259,5.823081
67.461362,5.285169
66.615465,5.472310
65.769569,5.817650
64.923672,5.866700
64.077775,5.924732
63.231879,6.178776
62.385982,6.660784
61.540085,6.612688
60.694188,6.997527
59.848292,7.273548
59.002395,7.290140
58.156498,7.231650
57.310601,7.361837
56.464705,7.795692
55.618808,7.547246
54.772911,7.865807
53.927014,8.569600
53.081118,8.879937
52.235221,8.424509
51.389324,8.162921
50.543428,8.183606
49.697531,8.188007
48.851634,8.401682
48.005737,8.133255
47.159841,8.860977
46.313944,9.105274
45.468047,8.545725
44.622150,8.895542
43.776254,8.953098
42.930357,9.222682
42.084460,9.562654
41.238563,9.365833
40.392667,9.290205
39.546770,9.579319
38.700873,10.237164
37.854977,10.226412
37.009080,10.965040
36.163183,11.360173
35.317286,11.900001
34.471390,11.801398
33.625493,11.952264
32.779596,12.382162
31.933699,12.862955
31.087803,13.606063
30.241906,13.826735
29.396009,13.985684
28.550112,14.618975
27.704216,14.863465
26.858319,14.845072
26.012422,15.689563
25.166525,16.402495
24.320629,16.085456
23.474732,15.965874
22.628835,16.363049
21.782939,16.803436
20.937042,16.422706
20.091145,16.474115
19.245248,17.097039
18.399352,16.951283
17.553455,17.090813
16.707558,18.216961
15.861661,18.789240
15.015765,19.500065
14.169868,20.879985
13.323971,21.161858
12.478074,21.441935
11.632178,22.072185
10.786281,23.142423
9.940384,24.759716
9.094488,25.258118
8.248591,26.339214
7.402694,27.279513
6.556797,28.018201
5.710901,28.841857
4.865004,29.864639
4.019107,30.383114
3.173210,30.008679
2.327314,29.781899
1.481417,29.561552
0.635520,29.000407
-0.210377,27.529352
-1.056273,26.075262
-1.902170,24.404455
